timestamp,A_Pre1945,B_19461983,C_19842010,D_Post2011,Average of temperatureatmospherique
1/12/2020 11:00,4.3048,2.944637288,2.725226667,2.425786047,-12.3
1/12/2020 12:00,3.5934,3.321355932,2.670453333,2.21575814,-11.5
1/12/2020 13:00,4.2949,2.932433898,2.577546667,2.050381395,-10.9
1/12/2020 14:00,5.0603,3.009925424,2.61232,1.775106977,-10.16666667
1/12/2020 15:00,5.1947,3.168671186,2.609653333,2.346083721,-9.7
1/12/2020 16:00,4.5931,3.149308475,2.672906667,2.450065116,-11.36666667
1/12/2020 17:00,4.4797,3.272135593,3.15776,2.449674419,-11.3
1/12/2020 18:00,4.5915,3.397545763,3.059893333,2.815534884,-11.03333333
1/12/2020 19:00,4.1024,2.894298305,3.00176,2.391516279,-10.63333333
1/12/2020 20:00,4.9958,3.196352542,2.736746667,2.407088372,-10.36666667
1/12/2020 21:00,3.7807,2.871091525,2.309866667,2.472,-10.23333333
1/12/2020 22:00,3.728,2.495613559,2.124106667,1.991497674,-10.06666667
1/12/2020 23:00,3.5878,2.643213559,1.912053333,2.147665116,-9.9
1/13/2020 0:00,3.9067,2.324277966,2.091573333,1.554195349,-9.966666667
1/13/2020 1:00,3.7288,2.2596,2.037653333,1.994623256,-10.33333333
1/13/2020 2:00,4.6134,2.295966102,1.85568,1.752111628,-10.36666667
1/13/2020 3:00,3.7953,2.248820339,1.75232,1.593376744,-10.33333333
1/13/2020 4:00,3.9944,2.652223729,1.94768,1.815906977,-10.46666667
1/13/2020 5:00,3.53,2.493091525,2.658826667,1.644,-10.5
1/13/2020 6:00,4.2563,2.383830508,2.509386667,1.980781395,-10.43333333
1/13/2020 7:00,3.814,2.980881356,2.137386667,2.039609302,-10.4
1/13/2020 8:00,4.6281,2.492664407,2.524693333,2.389562791,-10.33333333
1/13/2020 9:00,4.1352,2.604833898,2.333706667,2.488353488,-10.23333333
1/13/2020 10:00,3.5128,2.398983051,2.19968,2.395702326,-10.06666667
1/13/2020 11:00,3.6831,2.33440678,2.295893333,2.038660465,-9.766666667
1/13/2020 12:00,4.5871,2.749932203,1.949066667,1.785097674,-9.366666667
1/13/2020 13:00,3.8641,2.556101695,2.33008,1.611181395,-9.2
1/13/2020 14:00,4.1098,2.613986441,2.305173333,1.944781395,-8.866666667
1/13/2020 15:00,3.8587,2.655030508,2.418186667,1.736204651,-8.666666667
1/13/2020 16:00,3.5352,3.002644068,2.892053333,2.280223256,-8.566666667
1/13/2020 17:00,3.4448,2.840766102,3.042506667,2.454530233,-8.466666667
1/13/2020 18:00,3.7414,2.99739661,2.272746667,2.418083721,-8.366666667
1/13/2020 19:00,4.6782,2.890230508,2.182186667,2.212074419,-8.166666667
1/13/2020 20:00,3.1794,2.652549153,2.65184,2.214306977,-8
1/13/2020 21:00,3.104,2.74539661,2.667733333,1.910344186,-7.833333333
1/13/2020 22:00,2.5329,2.692494915,2.453653333,1.771367442,-7.866666667
1/13/2020 23:00,3.1074,2.176962712,2.17664,1.211386047,-7.833333333
1/14/2020 0:00,2.4257,2.360908475,2.004533333,1.428111628,-7.633333333
1/14/2020 1:00,3.3559,1.701701695,1.904586667,1.461655814,-7.633333333
1/14/2020 2:00,2.6956,1.964277966,1.63712,1.635906977,-7.566666667
1/14/2020 3:00,3.5318,1.890691525,1.83216,1.657227907,-7.4
1/14/2020 4:00,2.792,2.171694915,1.735946667,1.815181395,-7.233333333
1/14/2020 5:00,3.5031,1.929376271,2.323093333,1.76427907,-7.133333333
1/14/2020 6:00,2.9467,2.485077966,2.31792,1.594102326,-7.2
1/14/2020 7:00,4.499,2.545179661,1.871466667,1.753004651,-7.566666667
1/14/2020 8:00,3.4376,2.238467797,2.51312,2.076111628,-7.933333333
1/14/2020 9:00,3.2547,2.683077966,2.352906667,1.578139535,-8.966666667
1/14/2020 10:00,3.6058,2.367966102,2.08848,1.831423256,-9.3
1/14/2020 11:00,3.5324,2.353322034,1.890933333,1.794083721,-9.8
1/14/2020 12:00,3.2393,2.250447458,2.03408,1.406623256,-10.83333333
1/14/2020 13:00,4.6515,2.456725424,1.68416,1.511888372,-11.66666667
1/14/2020 14:00,4.5443,2.163457627,1.819413333,1.684855814,-12.2
